Designator,Mid X,Mid Y,Rotation,Layer
C1,121.4975,-97.088,0.0,top
C10,126.651715,-77.3326,90.0,top
C11,125.662215,-74.0,0.0,top
C12,115.0,-73.5,270.0,top
C14,131.0,-58.5,180.0,top
C15,121.6875,-50.292,0.0,top
C16,126.683211,-53.5,90.0,top
C17,123.683211,-53.5,90.0,top
C18,125.693711,-49.95,0.0,top
C19,113.961711,-48.4011,180.0,top
C2,125.4919,-97.0,0.0,top
C21,131.0,-82.0,180.0,top
C3,126.4384,-100.4625,90.0,top
C4,123.6444,-100.4625,90.0,top
C6,121.6875,-74.2531,0.0,top
C7,130.5,-35.0,0.0,top
C8,115.0,-96.5,270.0,top
C9,124.2,-77.3326,90.0,top
D1,116.5,-55.5,180.0,top
J1,119.99,-83.525,270.0,top
J10,112.0,-67.77,180.0,top
J11,112.5,-41.77,180.0,top
J2,119.99,-61.525,270.0,top
J3,138.0,-91.5,180.0,top
J4,138.5,-68.54,180.0,top
J5,138.5,-44.0,180.0,top
J6,120.23,-38.0,270.0,top
J7,109.73,-55.5,270.0,top
J8,110.98,-78.525,270.0,top
J9,112.0,-89.77,180.0,top
R1,126.9544,-85.4511,90.0,top
R10,131.0,-62.5,0.0,top
R11,131.0,-64.5,0.0,top
R12,131.0,-60.5,0.0,top
R13,130.5,-39.0,0.0,top
R14,130.5,-37.0,0.0,top
R15,130.5,-41.0,0.0,top
R2,117.4544,-96.4511,90.0,top
R25,131.0,-95.0,90.0,top
R26,131.0,-72.0,90.0,top
R27,131.5,-48.0,90.0,top
R3,117.624715,-73.4511,90.0,top
R34,134.0,-96.5,180.0,top
R35,136.0,-81.5,180.0,top
R36,136.5,-57.0,180.0,top
R4,127.124715,-62.4511,90.0,top
R5,117.656211,-49.4011,90.0,top
R6,127.156211,-38.4011,90.0,top
R7,131.0,-88.0,0.0,top
R8,131.0,-86.0,0.0,top
R9,131.0,-84.0,0.0,top
U1,123.0,-91.5,90.0,top
U2,123.170315,-68.5,90.0,top
U3,123.201811,-44.45,90.0,top
VR1,134.96,-100.5,0.0,top
VR2,134.96,-77.5,0.0,top
VR3,135.5,-53.0,0.0,top
