Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",119.500000,-73.888000,-90.000000,top
"C2","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",117.500000,-78.000000,180.000000,top
"C3","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",122.500000,-73.888000,-90.000000,top
"C4","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",117.000000,-73.962500,-90.000000,top
"C5","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",122.500000,-82.000000,-90.000000,top
"C6","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",115.462500,-93.500000,180.000000,top
"C7","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",116.500000,-82.000000,-90.000000,top
"D1","BAT760-7","SOD2513X120N",111.697500,-83.130000,0.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",107.132857,-89.916371,-90.000000,top
"J2","Conn_01x04","PinSocket_1x04_P2.00mm_Vertical",143.000000,-97.500000,-90.000000,top
"J3","Conn_01x04","PinSocket_1x04_P2.00mm_Vertical",150.000000,-97.500000,180.000000,top
"J4","Conn_01x04","PinSocket_1x04_P2.00mm_Vertical",150.000000,-88.500000,180.000000,top
"J5","Conn_01x04","PinSocket_1x04_P2.00mm_Vertical",150.000000,-79.500000,180.000000,top
"J7","Conn_01x11","PinHeader_1x11_P2.00mm_Vertical",133.870000,-97.540000,-90.000000,top
"R1","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",115.500000,-86.000000,0.000000,top
"R2","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",145.500000,-90.500000,0.000000,top
"R3","5.1k","RES_ERA6ARB512V",115.462500,-91.000000,0.000000,top
"R5","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",113.500000,-81.000000,180.000000,top
"S1","TS-1088-AR02016","SW_TS-1088-AR02016",119.500000,-83.000000,-90.000000,top
"S2","TS-1088-AR02016","SW_TS-1088-AR02016",146.500000,-94.500000,-90.000000,top
"U1","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",133.500000,-78.650000,0.000000,top
"U2","USBLC6-2P6","SOT-666",119.660000,-89.515000,-90.000000,top
"U3","MCP1826S","SOT-223-3_TabPin2",110.850000,-75.800000,180.000000,top
